location,date,weathercode,temperature_max,temperature_min,rain_sum,snowfall_sum,windspeed_max,winddirection_dominant
Olsztyn,2022-10-01,53,14.8,7.2,3.4,0.0,17.7,268
Olsztyn,2022-10-02,61,13.2,9.4,4.5,0.0,22.4,188
Olsztyn,2022-10-03,53,12.3,8.9,1.6,0.0,31.6,133
Olsztyn,2022-10-04,51,13.5,8.8,0.8,0.0,26.3,146
Olsztyn,2022-10-05,3,15.7,9.2,0.0,0.0,20.2,226
Olsztyn,2022-10-06,51,16.7,9.4,0.1,0.0,24.9,193
Olsztyn,2022-10-07,0,15.8,6.9,0.0,0.0,16.6,244
Olsztyn,2022-10-08,51,16.7,9.9,0.5,0.0,17.3,220
Olsztyn,2022-10-09,51,13.4,5.2,0.5,0.0,21.1,169
Olsztyn,2022-10-10,3,13.8,4.3,0.0,0.0,22.8,288
Olsztyn,2022-10-11,53,13.6,7.3,1.2,0.0,22.5,189
Olsztyn,2022-10-12,51,12.4,6.6,0.1,0.0,13.0,183
Olsztyn,2022-10-13,2,13.7,6.4,0.0,0.0,17.1,283
Olsztyn,2022-10-14,3,13.4,6.3,0.0,0.0,14.7,288
Olsztyn,2022-10-15,53,15.9,9.2,1.5,0.0,22.7,277
Olsztyn,2022-10-16,51,16.8,12.1,1.1,0.0,22.9,245
Olsztyn,2022-10-17,3,18.3,10.6,0.0,0.0,20.0,253
Olsztyn,2022-10-18,53,15.2,10.1,3.7,0.0,18.6,186
Olsztyn,2022-10-19,53,10.4,5.4,2.6,0.0,24.0,130
Olsztyn,2022-10-20,3,9.7,5.0,0.0,0.0,11.8,190
Olsztyn,2022-10-21,51,8.7,3.8,0.4,0.0,19.3,297
Olsztyn,2022-10-22,51,11.6,6.7,0.8,0.0,14.6,233
Olsztyn,2022-10-23,51,13.7,9.6,0.3,0.0,17.3,186
Olsztyn,2022-10-24,61,12.6,9.2,3.8,0.0,15.7,282
Olsztyn,2022-10-25,61,14.4,9.4,2.8,0.0,14.8,203
Olsztyn,2022-10-26,3,13.0,9.1,0.0,0.0,20.0,195
Olsztyn,2022-10-27,3,14.4,7.6,0.0,0.0,13.0,227
Olsztyn,2022-10-28,51,15.3,10.0,0.2,0.0,18.8,243
Olsztyn,2022-10-29,3,14.6,9.8,0.0,0.0,25.3,185
Olsztyn,2022-10-30,2,14.1,8.3,0.0,0.0,14.8,167
Olsztyn,2022-10-31,51,12.3,6.7,0.2,0.0,10.2,295
Olsztyn,2022-11-01,51,13.5,10.8,0.2,0.0,9.7,271
Olsztyn,2022-11-02,51,14.3,9.3,1.2,0.0,14.4,185
Olsztyn,2022-11-03,2,11.4,6.0,0.0,0.0,16.3,212
Olsztyn,2022-11-04,51,8.6,5.9,0.1,0.0,23.7,324
Olsztyn,2022-11-05,53,8.4,6.4,4.8,0.0,20.9,299
Olsztyn,2022-11-06,1,9.6,2.9,0.0,0.0,15.9,240
Olsztyn,2022-11-07,3,9.3,3.9,0.0,0.0,19.6,255
Olsztyn,2022-11-08,2,12.5,6.7,0.0,0.0,17.3,238
Olsztyn,2022-11-09,53,11.0,6.9,2.2,0.0,18.4,253
Olsztyn,2022-11-10,53,11.1,7.4,1.5,0.0,18.6,199
Olsztyn,2022-11-11,3,10.7,7.3,0.0,0.0,18.5,200
Olsztyn,2022-11-12,51,11.7,9.0,0.2,0.0,18.6,176
Olsztyn,2022-11-13,51,11.3,9.6,0.3,0.0,7.2,224
Olsztyn,2022-11-14,51,9.6,5.8,0.1,0.0,18.7,294
Olsztyn,2022-11-15,51,7.1,4.4,0.5,0.0,12.2,283
Olsztyn,2022-11-16,3,5.8,1.2,0.0,0.0,20.8,27
Olsztyn,2022-11-17,3,1.1,-2.2,0.0,0.0,18.1,12
Olsztyn,2022-11-18,71,-0.9,-3.4,0.0,0.28,22.2,43
Olsztyn,2022-11-19,71,-1.9,-4.0,0.0,0.91,19.2,313
