time,weathercode (wmo code),temperature_2m_max (Â°C),temperature_2m_min (Â°C),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),winddirection_10m_dominant (Â°)
2022-10-01,51,18.3,11.6,0.20,0.00,23.5,196
2022-10-02,53,17.5,11.7,1.70,0.00,15.3,165
2022-10-03,3,17.2,9.0,0.00,0.00,13.3,280
2022-10-04,51,17.4,12.1,0.10,0.00,24.2,236
2022-10-05,51,18.6,11.4,0.80,0.00,41.1,224
2022-10-06,3,17.8,7.7,0.00,0.00,22.7,221
2022-10-07,51,18.1,11.2,0.20,0.00,28.0,218
2022-10-08,3,15.7,7.3,0.00,0.00,14.8,181
2022-10-09,1,16.4,6.1,0.00,0.00,18.4,277
2022-10-10,53,15.5,7.1,3.50,0.00,16.6,131
2022-10-11,2,14.6,4.7,0.00,0.00,8.4,172
2022-10-12,53,17.2,6.6,2.30,0.00,18.3,251
2022-10-13,51,16.5,9.3,0.40,0.00,9.4,228
2022-10-14,51,13.9,9.6,1.20,0.00,14.8,225
2022-10-15,51,16.0,8.6,0.40,0.00,25.4,231
2022-10-16,61,16.6,10.5,3.60,0.00,24.6,254
2022-10-17,61,17.8,9.2,3.50,0.00,25.3,231
2022-10-18,3,17.3,6.9,0.00,0.00,18.5,19
2022-10-19,51,16.0,11.6,0.70,0.00,25.9,0
2022-10-20,65,16.3,10.7,30.30,0.00,17.0,273
2022-10-21,53,17.5,10.2,3.40,0.00,30.6,273
2022-10-22,53,17.5,11.7,0.90,0.00,18.6,245
2022-10-23,63,17.8,13.4,19.90,0.00,20.8,296
2022-10-24,51,16.9,11.9,0.20,0.00,27.9,223
2022-10-25,51,16.7,10.6,0.40,0.00,18.2,262
2022-10-26,51,18.4,13.6,1.00,0.00,28.1,250
2022-10-27,53,20.1,13.4,1.70,0.00,24.3,271
2022-10-28,53,17.3,12.1,0.80,0.00,22.3,249
2022-10-29,61,20.8,11.1,5.00,0.00,19.1,283
