time,weathercode (wmo code),temperature_2m_max (Â°C),temperature_2m_min (Â°C),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),winddirection_10m_dominant (Â°)
2022-10-01,53,14.8,7.2,3.40,0.00,17.7,268
2022-10-02,61,13.2,9.4,4.50,0.00,22.4,188
2022-10-03,53,12.3,8.9,1.60,0.00,31.6,133
2022-10-04,51,13.5,8.8,0.80,0.00,26.3,146
2022-10-05,3,15.7,9.2,0.00,0.00,20.2,226
2022-10-06,51,16.7,9.4,0.10,0.00,24.9,193
2022-10-07,0,15.8,6.9,0.00,0.00,16.6,244
2022-10-08,51,16.7,9.9,0.50,0.00,17.3,220
2022-10-09,51,13.4,5.2,0.50,0.00,21.1,169
2022-10-10,3,13.8,4.3,0.00,0.00,22.8,288
2022-10-11,53,13.6,7.3,1.20,0.00,22.5,189
2022-10-12,51,12.4,6.6,0.10,0.00,13.0,183
2022-10-13,2,13.7,6.4,0.00,0.00,17.1,283
2022-10-14,3,13.4,6.3,0.00,0.00,14.7,288
2022-10-15,53,15.9,9.2,1.50,0.00,22.7,277
2022-10-16,51,16.8,12.1,1.10,0.00,22.9,245
2022-10-17,3,18.3,10.6,0.00,0.00,20.0,253
2022-10-18,53,15.2,10.1,3.70,0.00,18.6,186
2022-10-19,53,10.4,5.4,2.60,0.00,24.0,130
2022-10-20,3,9.7,5.0,0.00,0.00,11.8,190
2022-10-21,51,8.7,3.8,0.40,0.00,19.3,297
2022-10-22,51,11.6,6.7,0.80,0.00,14.6,233
2022-10-23,51,13.7,9.6,0.30,0.00,17.3,186
2022-10-24,61,12.6,9.2,3.80,0.00,15.7,282
2022-10-25,61,14.4,9.4,2.80,0.00,14.8,203
2022-10-26,3,13.0,9.1,0.00,0.00,20.0,195
2022-10-27,3,14.4,7.6,0.00,0.00,13.0,227
2022-10-28,51,15.3,10.0,0.20,0.00,18.8,243
2022-10-29,3,14.6,9.8,0.00,0.00,25.3,185
2022-10-30,2,14.1,8.3,0.00,0.00,14.8,167
2022-10-31,51,12.3,6.7,0.20,0.00,10.2,295
2022-11-01,51,13.5,10.8,0.20,0.00,9.7,271
2022-11-02,51,14.3,9.3,1.20,0.00,14.4,185
2022-11-03,2,11.4,6.0,0.00,0.00,16.3,212
2022-11-04,51,8.6,5.9,0.10,0.00,23.7,324
2022-11-05,53,8.4,6.4,4.80,0.00,20.9,299
2022-11-06,1,9.6,2.9,0.00,0.00,15.9,240
2022-11-07,3,9.3,3.9,0.00,0.00,19.6,255
2022-11-08,2,12.5,6.7,0.00,0.00,17.3,238
2022-11-09,53,11.0,6.9,2.20,0.00,18.4,253
2022-11-10,53,11.1,7.4,1.50,0.00,18.6,199
2022-11-11,3,10.7,7.3,0.00,0.00,18.5,200
2022-11-12,51,11.7,9.0,0.20,0.00,18.6,176
2022-11-13,51,11.3,9.6,0.30,0.00,7.2,224
2022-11-14,51,9.6,5.8,0.10,0.00,18.7,294
2022-11-15,51,7.1,4.4,0.50,0.00,12.2,283
2022-11-16,3,5.8,1.2,0.00,0.00,20.8,27
2022-11-17,3,1.1,-2.2,0.00,0.00,18.1,12
2022-11-18,71,-0.9,-3.4,0.00,0.28,22.2,43
2022-11-19,71,-1.9,-4.0,0.00,0.91,19.2,313
2022-11-20,73,-1.3,-3.8,0.00,2.94,19.5,285
2022-11-21,71,-0.5,-3.9,0.00,0.42,13.2,313
2022-11-22,71,0.7,-1.4,0.00,0.14,14.3,326
2022-11-23,3,0.9,-2.4,0.00,0.00,14.3,330
2022-11-24,3,-1.2,-3.7,0.00,0.00,11.9,349
2022-11-25,71,-0.4,-4.2,0.00,0.28,5.0,356
2022-11-26,3,0.3,-2.4,0.00,0.00,6.9,122
2022-11-27,51,2.2,-2.0,0.40,0.00,10.6,208
2022-11-28,3,2.1,0.7,0.00,0.00,14.3,326
2022-11-29,3,1.3,-1.1,0.00,0.00,18.4,326
2022-11-30,3,1.5,-0.9,0.00,0.00,14.1,326
2022-12-01,3,1.1,-1.6,0.00,0.00,9.7,358
2022-12-02,3,-1.6,-3.2,0.00,0.00,11.3,345
2022-12-03,73,-1.3,-3.4,0.10,2.38,13.3,343
2022-12-04,51,1.0,-1.1,1.50,0.00,20.2,323
2022-12-05,53,0.1,-1.9,1.30,0.00,17.1,323
2022-12-06,73,2.2,-0.0,2.10,0.49,11.5,287
2022-12-07,73,0.9,-0.3,0.60,2.66,24.2,211
2022-12-08,73,0.6,-1.4,0.20,2.10,24.0,227
2022-12-09,73,0.4,-1.5,0.00,0.63,13.0,16
2022-12-10,3,-1.2,-3.2,0.00,0.00,11.2,55
2022-12-11,73,-3.3,-4.7,0.00,3.01,19.6,80
2022-12-12,73,-0.8,-4.1,0.00,3.71,27.9,142
2022-12-13,73,-1.7,-5.7,0.00,0.63,28.6,187
2022-12-14,0,-5.4,-9.0,0.00,0.00,18.8,263
2022-12-15,3,-5.7,-12.9,0.00,0.00,14.3,251
2022-12-16,3,-5.8,-8.0,0.00,0.00,12.7,19
2022-12-17,3,-7.0,-8.8,0.00,0.00,13.3,83
2022-12-18,3,-4.0,-9.1,0.00,0.00,18.0,221
2022-12-19,71,-1.1,-10.0,1.10,0.14,25.3,179
2022-12-20,53,2.5,-0.4,6.80,0.00,23.3,221
2022-12-21,53,2.5,1.4,4.60,0.00,19.1,219
2022-12-22,53,4.4,2.1,4.10,0.00,15.1,206
2022-12-23,51,3.8,2.6,1.00,0.00,14.0,244
2022-12-24,3,2.5,-0.5,0.00,0.00,11.0,54
2022-12-25,3,2.0,-0.9,0.00,0.00,14.5,145
2022-12-26,73,7.5,2.0,9.40,0.21,26.0,184
2022-12-27,51,6.3,1.4,0.10,0.00,24.3,264
2022-12-28,51,4.7,-0.0,1.60,0.00,21.1,221
2022-12-29,53,6.8,4.3,2.90,0.00,21.4,214
2022-12-30,51,6.3,2.1,0.60,0.00,20.9,230
2022-12-31,61,12.6,3.3,4.60,0.00,29.5,214
2023-01-01,51,14.1,9.0,0.10,0.00,29.8,248
2023-01-02,53,10.1,7.9,3.10,0.00,23.5,216
2023-01-03,51,9.5,3.9,1.10,0.00,26.3,275
2023-01-04,61,7.2,0.7,7.00,0.00,28.0,218
2023-01-05,71,7.7,-1.1,5.60,0.07,27.4,285
