time,temperature_2m (Â°C),relativehumidity_2m (%),rain (mm),snowfall (cm),weathercode (wmo code),windspeed_10m (km/h),winddirection_10m (Â°)
2022-10-01T00:00,14.1,91,0.00,0.00,1,15.2,194
2022-10-01T01:00,13.3,92,0.00,0.00,0,16.5,196
2022-10-01T02:00,12.8,93,0.00,0.00,1,17.3,197
2022-10-01T03:00,12.7,93,0.00,0.00,3,18.3,195
2022-10-01T04:00,12.4,92,0.00,0.00,2,18.2,194
2022-10-01T05:00,11.9,93,0.00,0.00,1,17.6,195
2022-10-01T06:00,11.6,92,0.00,0.00,1,17.4,193
2022-10-01T07:00,12.1,91,0.00,0.00,1,17.4,193
2022-10-01T08:00,13.2,89,0.00,0.00,0,15.6,199
2022-10-01T09:00,14.6,81,0.00,0.00,0,19.6,194
2022-10-01T10:00,15.8,71,0.00,0.00,2,23.1,185
2022-10-01T11:00,16.7,62,0.10,0.00,51,22.6,189
2022-10-01T12:00,17.7,54,0.00,0.00,1,23.2,187
2022-10-01T13:00,18.1,50,0.00,0.00,1,23.5,186
2022-10-01T14:00,18.3,50,0.10,0.00,51,22.3,190
2022-10-01T15:00,17.8,55,0.00,0.00,0,20.4,197
2022-10-01T16:00,17.2,59,0.00,0.00,0,19.6,200
2022-10-01T17:00,16.4,63,0.00,0.00,1,18.7,203
2022-10-01T18:00,15.5,66,0.00,0.00,0,19.0,205
2022-10-01T19:00,14.9,72,0.00,0.00,2,19.3,204
2022-10-01T20:00,14.5,74,0.00,0.00,2,18.7,203
2022-10-01T21:00,14.2,78,0.00,0.00,3,17.9,202
2022-10-01T22:00,14.1,80,0.00,0.00,3,17.6,203
2022-10-01T23:00,14.1,81,0.00,0.00,3,17.3,203
2022-10-02T00:00,13.9,82,0.00,0.00,3,14.7,205
2022-10-02T01:00,13.6,85,0.00,0.00,2,15.3,210
2022-10-02T02:00,13.2,88,0.00,0.00,2,14.5,210
2022-10-02T03:00,12.8,91,0.00,0.00,3,13.0,208
2022-10-02T04:00,12.8,91,0.10,0.00,51,11.9,205
2022-10-02T05:00,12.7,92,0.10,0.00,51,13.6,192
2022-10-02T06:00,12.4,94,0.00,0.00,3,10.0,193
2022-10-02T07:00,12.3,94,0.30,0.00,51,10.2,190
2022-10-02T08:00,12.5,93,0.50,0.00,53,9.8,188
2022-10-02T09:00,13.0,93,0.30,0.00,51,9.4,176
2022-10-02T10:00,13.5,89,0.30,0.00,51,8.4,155
2022-10-02T11:00,14.0,84,0.10,0.00,51,9.2,132
2022-10-02T12:00,15.6,70,0.00,0.00,0,8.0,117
2022-10-02T13:00,16.9,60,0.00,0.00,1,10.7,132
2022-10-02T14:00,17.4,56,0.00,0.00,1,11.3,127
2022-10-02T15:00,17.5,54,0.00,0.00,3,11.5,131
2022-10-02T16:00,17.1,53,0.00,0.00,2,8.7,128
2022-10-02T17:00,16.2,58,0.00,0.00,2,6.4,128
2022-10-02T18:00,15.0,63,0.00,0.00,2,6.4,133
2022-10-02T19:00,14.6,65,0.00,0.00,2,5.6,135
2022-10-02T20:00,14.0,68,0.00,0.00,2,5.9,128
2022-10-02T21:00,13.1,74,0.00,0.00,2,6.3,114
2022-10-02T22:00,12.7,78,0.00,0.00,1,4.0,90
2022-10-02T23:00,11.7,81,0.00,0.00,1,7.2,87
2022-10-03T00:00,11.4,81,0.00,0.00,1,5.4,98
2022-10-03T01:00,12.1,77,0.00,0.00,2,4.7,99
2022-10-03T02:00,11.9,78,0.00,0.00,2,3.3,96
