latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.199997,21.0,113.0,3600,Europe/Warsaw,CET

time,temperature_2m (°C),relativehumidity_2m (%),rain (mm),snowfall (cm),weathercode (wmo code),windspeed_10m (km/h),winddirection_10m (°)
2022-10-01T00:00,9.5,93,0.00,0.00,3,1.1,198
2022-10-01T01:00,9.1,94,0.00,0.00,3,2.4,153
2022-10-01T02:00,8.9,94,0.00,0.00,3,3.1,159
2022-10-01T03:00,8.5,95,0.00,0.00,3,3.0,166
2022-10-01T04:00,8.0,96,0.00,0.00,0,2.9,187
2022-10-01T05:00,7.4,97,0.00,0.00,2,3.8,229
2022-10-01T06:00,6.6,98,0.00,0.00,3,4.1,225
2022-10-01T07:00,7.2,98,0.00,0.00,3,2.3,252
2022-10-01T08:00,8.7,97,0.00,0.00,3,4.2,250
2022-10-01T09:00,10.4,90,0.00,0.00,2,5.8,292
2022-10-01T10:00,11.7,81,0.00,0.00,0,9.1,304
2022-10-01T11:00,13.1,71,0.00,0.00,3,10.8,285
2022-10-01T12:00,13.9,66,0.00,0.00,2,10.3,282
2022-10-01T13:00,14.7,60,0.00,0.00,3,10.2,288
2022-10-01T14:00,15.1,58,0.00,0.00,3,10.7,290
2022-10-01T15:00,15.0,60,0.00,0.00,3,11.2,276
2022-10-01T16:00,14.5,65,0.00,0.00,3,9.2,291
2022-10-01T17:00,13.5,70,0.00,0.00,3,9.1,288
2022-10-01T18:00,12.6,78,1.00,0.00,53,9.7,301
2022-10-01T19:00,11.6,91,0.90,0.00,53,10.2,309
2022-10-01T20:00,11.0,92,0.30,0.00,51,9.4,293
2022-10-01T21:00,10.6,94,0.70,0.00,53,8.1,257
2022-10-01T22:00,10.6,95,1.00,0.00,53,8.8,215
2022-10-01T23:00,10.5,94,0.60,0.00,53,12.5,192
2022-10-02T00:00,10.2,94,0.20,0.00,51,11.5,184
2022-10-02T01:00,9.9,92,0.10,0.00,51,11.7,191
2022-10-02T02:00,9.9,91,0.10,0.00,51,13.6,191
2022-10-02T03:00,10.0,91,0.70,0.00,53,13.8,186
2022-10-02T04:00,10.1,92,0.20,0.00,51,14.8,186
2022-10-02T05:00,10.4,93,0.10,0.00,51,16.2,179
2022-10-02T06:00,10.6,93,0.20,0.00,51,17.4,174
2022-10-02T07:00,10.7,92,0.10,0.00,51,21.0,167
2022-10-02T08:00,11.5,90,0.00,0.00,2,20.3,168
2022-10-02T09:00,12.0,87,0.10,0.00,51,18.8,173
2022-10-02T10:00,11.7,88,0.70,0.00,53,18.7,179
2022-10-02T11:00,12.5,89,0.10,0.00,51,18.1,167
2022-10-02T12:00,13.0,88,0.10,0.00,51,19.5,176
2022-10-02T13:00,13.2,86,0.30,0.00,51,20.8,171
2022-10-02T14:00,12.9,85,0.80,0.00,53,20.6,168
2022-10-02T15:00,13.0,85,0.10,0.00,51,20.8,162
2022-10-02T16:00,12.5,84,0.20,0.00,51,15.6,161
2022-10-02T17:00,11.8,84,0.00,0.00,1,12.7,173
2022-10-02T18:00,10.9,87,0.10,0.00,51,12.2,182
2022-10-02T19:00,10.5,88,0.10,0.00,51,12.6,182
2022-10-02T20:00,10.6,78,0.00,0.00,1,14.0,181
2022-10-02T21:00,10.4,79,0.00,0.00,2,15.5,177
2022-10-02T22:00,10.2,82,0.00,0.00,1,16.7,173
2022-10-02T23:00,10.1,84,0.00,0.00,3,17.8,166
2022-10-03T00:00,10.0,86,0.00,0.00,3,16.8,165
2022-10-03T01:00,9.6,87,0.00,0.00,3,16.9,168
2022-10-03T02:00,9.5,87,0.00,0.00,3,18.9,167
2022-10-03T03:00,9.5,86,0.00,0.00,3,19.8,164
2022-10-03T04:00,9.8,86,0.10,0.00,51,21.2,170
2022-10-03T05:00,9.9,85,0.00,0.00,3,22.9,167
2022-10-03T06:00,10.0,84,0.10,0.00,51,23.4,166
2022-10-03T07:00,10.2,83,0.10,0.00,51,25.0,165
2022-10-03T08:00,10.3,90,0.40,0.00,51,27.4,163
2022-10-03T09:00,11.1,85,0.20,0.00,51,31.4,153
2022-10-03T10:00,11.5,83,0.10,0.00,51,29.6,148
2022-10-03T11:00,12.0,85,0.20,0.00,51,30.7,144
2022-10-03T12:00,12.0,81,0.70,0.00,53,28.3,134
2022-10-03T13:00,12.1,74,0.20,0.00,51,28.1,130
2022-10-03T14:00,12.9,64,0.00,0.00,1,29.2,128
2022-10-03T15:00,12.9,60,0.00,0.00,1,28.5,127
2022-10-03T16:00,12.5,59,0.00,0.00,1,25.3,130
2022-10-03T17:00,12.1,60,0.00,0.00,1,24.2,133
2022-10-03T18:00,11.5,63,0.00,0.00,1,23.2,137
2022-10-03T19:00,10.7,69,0.00,0.00,2,23.2,139
2022-10-03T20:00,10.4,74,0.00,0.00,2,23.1,141
2022-10-03T21:00,10.2,77,0.00,0.00,1,21.9,144
2022-10-03T22:00,10.0,81,0.00,0.00,1,20.6,147
2022-10-03T23:00,9.7,84,0.00,0.00,2,20.1,147
2022-10-04T00:00,9.1,89,0.20,0.00,51,18.4,152
2022-10-04T01:00,9.2,89,0.20,0.00,51,20.1,147
2022-10-04T02:00,9.2,90,0.00,0.00,3,19.4,149
2022-10-04T03:00,9.1,91,0.00,0.00,2,18.8,154
2022-10-04T04:00,9.1,92,0.00,0.00,2,18.2,155
2022-10-04T05:00,9.0,92,0.00,0.00,1,18.1,157
2022-10-04T06:00,9.2,92,0.00,0.00,1,18.6,158
2022-10-04T07:00,9.6,90,0.00,0.00,2,19.4,158
2022-10-04T08:00,10.1,91,0.00,0.00,3,18.5,159
2022-10-04T09:00,11.4,84,0.00,0.00,3,22.7,153
2022-10-04T10:00,12.3,76,0.10,0.00,51,25.3,144
2022-10-04T11:00,13.2,69,0.00,0.00,2,20.9,153
2022-10-04T12:00,13.9,65,0.10,0.00,51,23.4,155
2022-10-04T13:00,14.0,64,0.10,0.00,51,23.7,156
2022-10-04T14:00,14.0,64,0.00,0.00,2,24.3,153
2022-10-04T15:00,14.2,61,0.00,0.00,1,20.6,155
